Date,s&p(log),vix
2020-01-13,0.00695206,12.32
2020-01-14,-0.001515687,12.39
2020-01-15,0.001868409,12.42
2020-01-16,0.008331742,12.32
2020-01-17,0.003854706,12.1
2020-01-21,-0.002655477,12.85
2020-01-22,0.000289046,12.91
2020-01-23,0.001140314,12.98
2020-01-24,-0.009083269,14.56
2020-01-27,-0.015855725,18.23
2020-01-28,0.01000335,16.280001
2020-01-29,-0.000867223,16.389999
2020-01-30,0.003129454,15.49
2020-01-31,-0.017864476,18.84
2020-02-03,0.007228456,17.969999
2020-02-04,0.014869265,16.049999
2020-02-05,0.011187823,15.15
2020-02-06,0.003320129,14.96
2020-02-07,-0.005415471,15.47
2020-02-10,0.007299652,15.04
2020-02-11,0.001687075,15.18
2020-02-12,0.006441868,13.74
2020-02-13,-0.001631773,14.15
2020-02-14,0.001841845,13.68
2020-02-18,-0.002924252,14.83
2020-02-19,0.004694789,14.38
2020-02-20,-0.00382284,15.56
2020-02-21,-0.010573815,17.08
2020-02-24,-0.034088046,25.030001
2020-02-25,-0.030747925,27.85
2020-02-26,-0.003785675,27.559999
2020-02-27,-0.045168174,39.16
2020-02-28,-0.00827245,40.110001
2020-03-02,0.045010865,33.419998
2020-03-03,-0.02851053,36.82
2020-03-04,0.041336351,31.99
2020-03-05,-0.034510726,39.619999
2020-03-06,-0.017201002,41.939999
2020-03-09,-0.079010395,54.459999
2020-03-10,0.048215081,47.299999
2020-03-11,-0.050102857,53.900002
2020-03-12,-0.099944852,75.470001
2020-03-13,0.088808356,57.830002
2020-03-16,-0.127652141,82.690002
2020-03-17,0.058226287,75.910004
2020-03-18,-0.053222336,76.449997
2020-03-19,0.004696846,72
2020-03-20,-0.044327635,66.040001
2020-03-23,-0.029731491,61.59
2020-03-24,0.089683157,61.669998
2020-03-25,0.011468999,63.950001
2020-03-26,0.060543829,61
2020-03-27,-0.034267808,65.540001
2020-03-30,0.032966616,57.080002
2020-03-31,-0.016142382,53.540001
2020-04-01,-0.045146329,57.060001
2020-04-02,0.022572696,50.91
2020-04-03,-0.01525286,46.799999
2020-04-06,0.067968231,45.240002
2020-04-07,-0.001604332,46.700001
2020-04-08,0.033489345,43.349998
2020-04-09,0.014383439,41.669998
2020-04-13,-0.010155993,41.169998
2020-04-14,0.030114497,37.759998
2020-04-15,-0.022276751,40.84
2020-04-16,0.005799859,40.110001
2020-04-17,0.026440929,38.150002
2020-04-20,-0.018042794,43.830002
2020-04-21,-0.031155168,45.41
2020-04-22,0.022671301,41.98
2020-04-23,-0.000539564,41.380001
2020-04-24,0.013822111,35.93
2020-04-27,0.014606872,33.290001
2020-04-28,-0.005256139,33.57
2020-04-29,0.026236663,31.23
2020-04-30,-0.009255117,34.150002
2020-05-01,-0.028460221,37.189999
2020-05-04,0.004240812,35.970001
2020-05-05,0.008999952,33.610001
2020-05-06,-0.007003873,34.119999
2020-05-07,0.011438949,31.440001
2020-05-08,0.016730758,27.98
2020-05-11,0.000133106,27.57
2020-05-12,-0.020713427,33.040001
2020-05-13,-0.017616956,35.279999
2020-05-14,0.011458918,32.610001
2020-05-15,0.003918692,31.889999
2020-05-18,0.031015221,29.299999
2020-05-19,-0.010539757,30.530001
2020-05-20,0.016513934,27.99
2020-05-21,-0.007803935,29.530001
2020-05-22,0.002350966,28.16
2020-05-26,0.012214262,28.01
2020-05-27,0.014718493,27.620001
2020-05-28,-0.002110171,28.59
2020-05-29,0.004800768,27.51
2020-06-01,0.003744242,28.23
2020-06-02,0.008177279,26.84
2020-06-03,0.013556655,25.66
2020-06-04,-0.003374383,25.809999
2020-06-05,0.025874066,24.52
2020-06-08,0.011969668,25.809999
2020-06-09,-0.007829755,27.57
2020-06-10,-0.005327243,27.57
