Date,Open,High,Low,Close,Adj Close,Volume,Log Return
2018-04-16,249.089996,252.850006,235.009995,237.119995,199.143906,16243800,-0.04057910748115302
2018-04-23,237.990005,238.320007,225.860001,232.779999,195.499008,17021100,-0.018472403865499802
2018-04-30,232.580002,234.119995,221.979996,230.520004,193.600937,24689300,-0.009756290536951396
2018-05-07,231.300003,244.5,231.0,243.380005,204.401352,16193200,0.05428645808228529
2018-05-14,246.279999,248.419998,235.880005,235.990005,198.194855,12998100,-0.030834809857775092
2018-05-21,239.460007,250.679993,236.029999,250.029999,209.986298,12340500,0.05779161803839485
2018-05-28,248.639999,257.700012,248.470001,256.339996,215.285751,11618300,0.02492393913895667
2018-06-04,258.0,266.480011,253.740005,257.970001,216.654709,22549600,0.006338663359162868
2018-06-11,257.859985,271.809998,256.320007,270.230011,226.951233,19233200,0.04643027833463308
2018-06-18,269.0,269.0,254.149994,259.709991,218.116013,16196100,-0.03970807084068603
2018-06-25,256.420013,256.420013,242.270004,242.639999,206.512527,15469000,-0.05466601696237719
2018-07-02,240.089996,248.600006,237.419998,247.679993,210.802124,9337100,0.020558818518381834
2018-07-09,249.0,251.800003,197.460007,202.460007,172.315079,66689000,-0.20159523685265426
2018-07-16,201.600006,211.479996,200.529999,210.330002,179.013321,42007800,0.03813556640109284
2018-07-23,210.410004,229.770004,210.399994,221.050003,188.137131,42015200,0.04971089507887229
2018-07-30,221.110001,228.839996,213.25,217.809998,185.379578,24694800,-0.014765621105210775
2018-08-06,216.630005,221.839996,210.460007,212.229996,180.630371,13281700,-0.025952701975134298
2018-08-13,211.649994,213.979996,202.770004,209.270004,178.111084,17563300,-0.01404537100601523
2018-08-20,209.479996,211.710007,204.679993,209.0,177.881363,16745000,-0.0012905949765050296
2018-08-27,210.25,219.320007,208.630005,219.029999,186.417923,12483000,0.04687422298030269
2018-09-03,218.589996,235.410004,213.919998,232.580002,197.950409,24106900,0.0600254886658109
2018-09-10,234.660004,240.949997,222.830002,236.339996,201.150558,24656400,0.016037132712833548
2018-09-17,240.0,248.770004,234.309998,248.100006,211.159592,29371700,0.04856053532825644
2018-09-24,248.050003,250.100006,243.850006,246.729996,211.570236,18210200,0.0019428206952381729
2018-10-01,247.880005,252.139999,242.399994,244.229996,209.426468,13172400,-0.010184338780022822
2018-10-08,243.309998,245.729996,227.190002,232.949997,199.753937,18441200,-0.047286395595440234
2018-10-15,231.029999,239.740005,226.529999,228.279999,195.749405,15038900,-0.020250998814220593
2018-10-22,230.559998,232.429993,209.199997,213.149994,182.775497,18793600,-0.06857668790903354
2018-10-29,216.190002,234.229996,208.229996,220.770004,189.309631,16355000,0.035125326470096786
2018-11-05,219.020004,242.619995,213.710007,238.990005,204.933212,14948400,0.07930019709765583
2018-11-12,231.0,239.309998,220.279999,237.610001,203.749863,17511300,-0.005791051205588509
2018-11-19,236.529999,241.080002,222.580002,229.899994,197.138565,9544100,-0.03298622260830912
2018-11-26,234.220001,238.630005,231.550003,237.410004,203.578339,14820300,0.03214403191639981
2018-12-03,245.199997,247.039993,217.610001,228.559998,195.989471,20795100,-0.03798995063637451
2018-12-10,227.949997,261.589996,226.509995,254.830002,218.515976,26685900,0.10879819016773012
2018-12-17,253.990005,261.320007,238.449997,244.910004,210.009598,34531800,-0.039705894132611684
2018-12-24,242.0,258.059998,233.5,253.589996,219.74408,13144400,0.04531036206325403
2018-12-31,257.829987,258.5,230.330002,233.229996,202.101471,17976400,-0.08369369354014718
